,Text,Positive,Negative,Neutral,Compound,Username,Time Zone,Timestamp,Time,Year,Month,Day,Hour,Minute
0,love love love the good doctor!!,0.889,0.0,0.111,0.9523,mi_shellhall,Eastern Time (US & Canada),1.51002e+12,11/6/17 18:20,2017,11,6,18,20
1,wow l love the good doctor lol,0.873,0.0,0.127,0.9287,HKhadijah_,Central Time (US & Canada),1.51029e+12,11/9/17 21:04,2017,11,9,21,4
2,i love #thegooddoctor,0.808,0.0,0.192,0.6369,teairajanae,Central Time (US & Canada),1.50995e+12,11/5/17 22:31,2017,11,5,22,31
3,i love #thegooddoctor_Ÿ‘ç,0.808,0.0,0.192,0.6369,77_printemp,Pacific Time (US & Canada),1.5103e+12,11/10/17 0:03,2017,11,10,0,3
4,loving #thegooddoctor.,0.796,0.0,0.204,0.5994,BeccaMorgs,None,1.50984e+12,11/4/17 16:23,2017,11,4,16,23
5,loving #thegooddoctor,0.796,0.0,0.204,0.5994,melissabonjovi,None,1.51005e+12,11/7/17 2:15,2017,11,7,2,15
6,i love the good doctor!,0.787,0.0,0.213,0.8122,nebraskaCNA,None,1.51034e+12,11/10/17 9:57,2017,11,10,9,57
7,i love the good doctor,0.78,0.0,0.22,0.7964,bIankspacebabys,None,1.51028e+12,11/9/17 18:11,2017,11,9,18,11
8,the good doctor is pretty awesome,0.773,0.0,0.227,0.8807,CaseyOwens_,Eastern Time (US & Canada),1.50981e+12,11/4/17 9:25,2017,11,4,9,25
9,the good doctor!! wow  so good!  10/10 recommend.,0.768,0.0,0.232,0.9223,EngelBellRock,Central Time (US & Canada),1.50993e+12,11/5/17 18:21,2017,11,5,18,21
10,ok i love the good doctor https://t.co/1nuq2bqe8f,0.756,0.0,0.244,0.8519,lysstayy,Pacific Time (US & Canada),1.51009e+12,11/7/17 14:10,2017,11,7,14,10
11,@mrsrazorruddock the good doctor s pretty good,0.75,0.0,0.25,0.8402,filey45miller,None,1.50991e+12,11/5/17 12:47,2017,11,5,12,47
12,the good doctor :),0.747,0.0,0.253,0.7096,epjeybonags,Singapore,1.50998e+12,11/6/17 7:39,2017,11,6,7,39
13,the good doctor is so funny! i love his honesty.,0.745,0.0,0.255,0.9394,jpomaikalani,None,1.5098e+12,11/4/17 5:01,2017,11,4,5,1
14,okay the good doctorâ€™s really good!!,0.734,0.0,0.266,0.8065,pasifikhibiscus,Pacific Time (US & Canada),1.51047e+12,11/11/17 22:09,2017,11,11,22,9
15,i like the good doctor.,0.73,0.0,0.27,0.6597,alexisdhorton,None,1.50981e+12,11/4/17 8:44,2017,11,4,8,44
16,absolutely loving the good doctor!!_Ÿ’__Ÿ’__Ÿ’_,0.726,0.0,0.274,0.8377,RoxanneRoses,None,1.51043e+12,11/11/17 10:36,2017,11,11,10,36
17,@realrclark25 love the good doctor!,0.711,0.0,0.289,0.8122,mammaj685,None,1.5104e+12,11/11/17 4:48,2017,11,11,4,48
18,god bless freddie highmore,0.71,0.0,0.29,0.5994,LeahSiebert,Eastern Time (US & Canada),1.51009e+12,11/7/17 14:38,2017,11,7,14,38
19,the good doctor. awesome show!,0.709,0.0,0.291,0.807,Ron_Burgundy93,Pacific Time (US & Canada),1.51037e+12,11/10/17 19:25,2017,11,10,19,25
20,@chicken_palma good buying by the good doctor. good luck!,0.706,0.0,0.294,0.8999,Globalgallop,Melbourne,1.50997e+12,11/6/17 3:18,2017,11,6,3,18
21,@m_erkk i love the good doctor,0.703,0.0,0.297,0.7964,Nicolee14_,None,1.50993e+12,11/5/17 16:33,2017,11,5,16,33
22,i love the good doctor _Ÿ–_,0.703,0.0,0.297,0.7964,summa_doee,None,1.51001e+12,11/6/17 15:55,2017,11,6,15,55
23,i love the good doctor _Ÿ˜ª,0.703,0.0,0.297,0.7964,gisssel__ml,Pacific Time (US & Canada),1.51034e+12,11/10/17 9:54,2017,11,10,9,54
24,i love watching the good doctor.,0.703,0.0,0.297,0.7964,liveloveblu,Eastern Time (US & Canada),1.51036e+12,11/10/17 17:17,2017,11,10,17,17
25,i love the good doctor _Ÿ‘¨_Ÿè»â€çâ_•ï¸è,0.703,0.0,0.297,0.7964,Mandeerrssss,None,1.51044e+12,11/11/17 13:40,2017,11,11,13,40
26,the good doctor is great,0.7,0.0,0.3,0.7906,fiona_ang,Atlantic Time (Canada),1.50993e+12,11/5/17 17:35,2017,11,5,17,35
27,the good doctor is awesome.,0.7,0.0,0.3,0.7906,ModoModius,None,1.51008e+12,11/7/17 10:49,2017,11,7,10,49
28,the good doctor - amazing show !,0.7,0.0,0.3,0.7901,lexiloo9,Eastern Time (US & Canada),1.51036e+12,11/10/17 16:41,2017,11,10,16,41
29,"am loving ""the good doctor"".",0.694,0.0,0.306,0.7783,Moksh30,None,1.5098e+12,11/4/17 6:02,2017,11,4,6,2
30,the good doctor is a pretty good show,0.692,0.0,0.308,0.8402,joshhmayo,Arizona,1.50999e+12,11/6/17 8:16,2017,11,6,8,16
31,the good doctor is a pretty good show.,0.692,0.0,0.308,0.8402,Bodaciousbro,None,1.51036e+12,11/10/17 17:35,2017,11,10,17,35
32,the good doctor is a pretty good show,0.692,0.0,0.308,0.8402,applejvxks,Eastern Time (US & Canada),1.51045e+12,11/11/17 18:47,2017,11,11,18,47
33,watching â€œthe good doctorâ€ù pretty good _Ÿ_”â˜ºï¸è,0.692,0.0,0.308,0.8402,DM_riie,None,1.50982e+12,11/4/17 11:43,2017,11,4,11,43
34,@lilyallen the good doctor  brilliant,0.691,0.0,0.309,0.7717,PaulPaulpump,None,1.51009e+12,11/7/17 13:05,2017,11,7,13,5
